front,back,example,note
apple,яблоко,An apple a day,Фрукт
book,книга,I read a book,Предмет
car,машина,The car is fast,Транспорт
dog,собака,The dog barks,Животное
house,дом,A big house,Здание
water,вода,Drink water,Жидкость
time,время,Time flies,Понятие
day,день,Have a good day,Время
night,ночь,Quiet night,Время
world,мир,The whole world,Понятие
friend,друг,A loyal friend,Человек
family,семья,My family,Люди
mother,мама,My mother cooks,Семья
father,папа,My father works,Семья
child,ребёнок,The child plays,Семья
school,школа,Go to school,Место
teacher,учитель,The teacher explains,Профессия
student,студент,A diligent student,Профессия
work,работа,Hard work pays off,Деятельность
money,деньги,Save money,Финансы
food,еда,Good food,Бытовое
bread,хлеб,Fresh bread,Еда
milk,молоко,Drink milk,Еда
coffee,кофе,Morning coffee,Напиток
tea,чай,Green tea,Напиток
city,город,Busy city,Место
street,улица,Walk along the street,Место
road,дорога,Long road,Место
tree,дерево,Tall tree,Природа
flower,цветок,Beautiful flower,Природа
sun,солнце,The sun shines,Природа
moon,луна,Bright moon,Природа
star,звезда,Twinkling star,Природа
sky,небо,Blue sky,Природа
rain,дождь,Heavy rain,Погода
snow,снег,White snow,Погода
wind,ветер,Strong wind,Погода
fire,огонь,Warm fire,Стихия
earth,земля,Green earth,Природа
mountain,гора,High mountain,Природа
river,река,Wide river,Природа
sea,море,Blue sea,Природа
lake,озеро,Calm lake,Природа
forest,лес,Deep forest,Природа
bird,птица,A singing bird,Животное
cat,кошка,A lazy cat,Животное
horse,лошадь,A running horse,Животное
cow,корова,A milking cow,Животное
fish,рыба,A small fish,Животное
hand,рука,Raise your hand,Часть тела
eye,глаз,Brown eyes,Часть тела
ear,ухо,Big ears,Часть тела
head,голова,Shake your head,Часть тела
foot,нога,Left foot,Часть тела
heart,сердце,Healthy heart,Часть тела
voice,голос,Loud voice,Свойство
smile,улыбка,Warm smile,Выражение
laugh,смех,Loud laugh,Выражение
song,песня,Beautiful song,Искусство
music,музыка,Classical music,Искусство
film,фильм,Interesting film,Искусство
picture,картина,Old picture,Искусство
game,игра,Fun game,Досуг
ball,мяч,Colourful ball,Спорт
sport,спорт,Team sport,Досуг
run,бежать,Run fast,Движение
walk,гулять,Walk in the park,Движение
jump,прыгать,Jump high,Движение
swim,плавать,Swim well,Движение
fly,летать,Birds fly,Движение
sleep,спать,Sleep deeply,Состояние
eat,есть,Eat slowly,Действие
drink,пить,Drink tea,Действие
read,читать,Read a book,Действие
write,писать,Write a letter,Действие
speak,говорить,Speak clearly,Действие
listen,слушать,Listen to music,Действие
see,видеть,See the stars,Действие
watch,смотреть,Watch a film,Действие
buy,покупать,Buy bread,Действие
sell,продавать,Sell a car,Действие
give,давать,Give a present,Действие
take,брать,Take a book,Действие
open,открывать,Open the door,Действие
close,закрывать,Close the window,Действие
start,начинать,Start work,Действие
finish,заканчивать,Finish the task,Действие
help,помогать,Help a friend,Действие
love,любить,Love your family,Чувство
hate,ненавидеть,Hate lies,Чувство
happy,счастливый,A happy day,Прилагательное
sad,грустный,A sad story,Прилагательное
big,большой,A big house,Прилагательное
small,маленький,A small cat,Прилагательное
fast,быстрый,A fast car,Прилагательное
slow,медленный,A slow walk,Прилагательное
new,новый,A new book,Прилагательное
old,старый,An old tree,Прилагательное
hot,горячий,Hot tea,Прилагательное
cold,холодный,Cold water,Прилагательное
gold,золото,Gold shines,Металл
silver,серебро,Silver spoon,Металл
iron,железо,Iron gate,Металл
stone,камень,Hard stone,Природа
sand,песок,Soft sand,Природа
island,остров,Small island,География
country,страна,Wide country,География
language,язык,Foreign language,Понятие
word,слово,Simple word,Понятие
sentence,предложение,Long sentence,Грамматика
